,ensembl_string,entrez,symbol,mutation_rate,SFARI_listed,SFARI_score,pLI,TADA_BF,krishnan_post,D,D_ens,tadaFdrAscSscExomeSscAgpSmallDel,tadaFdrAscSscExome,tadaFdrAscExome,tadaFdrSscExome,rASD,min_lFDR,Netscore
ENSP00000361007,ENSP00000361007,142910,LIPJ,1.134e-05,FALSE,NA,2.64340955679906e-07,0.373224848164108,0.487,NA,NA,0.939770992818504,0.937795973759489,0.942453007,0.932466068707954,0,1,0
ENSP00000361254,ENSP00000361254,84293,FAM213A,8.74e-06,FALSE,NA,0.000157315082288998,0.493029417592265,0.477,0.00553703503394122,-0.544925336796765,0.905762464313273,0.904117901708147,0.927007745,0.833541370521632,0,1,0
ENSP00000365080,ENSP00000365080,728215,FAM155A,2.55e-05,FALSE,NA,0.80041532637658,0.540171216938945,0.599,0.0875294979701108,-0.234576343057622,0.945292366485096,0.930581105409612,0.914407497,0.933376400735496,0,1,0
ENSP00000365167,ENSP00000365167,114827,FHAD1,5.27e-05,FALSE,NA,NA,0.852701623408671,0.448,0.0174939713823523,-0.105217258277302,0.919103695547282,0.911075038361792,0.876883876,1,0,1,0
ENSP00000366317,ENSP00000366317,399726,CASC10,NA,FALSE,NA,0.02005486166772,NA,0.481,NA,NA,NA,NA,NA,NA,0,1,0
ENSP00000369573,ENSP00000369573,79339,OR51B4,1.139e-05,FALSE,NA,0.0123392431471372,0.632412851761064,0.489,0.00715896379562829,-0.200084377766493,0.909128200921727,0.909031928056911,0.90167969,0.915046913310984,0,1,1.76638292218667
ENSP00000370568,ENSP00000370568,85352,KIAA1644,1.211e-05,FALSE,NA,0.676861238307606,0.479407524868336,0.569,0.0786328457692162,-0.11206248299021,0.9098454005594,0.913880811903939,0.930427832,0.916892517953603,0,1,0
ENSP00000378167,ENSP00000378167,285331,CCDC66,2.608e-05,FALSE,NA,8.98685926047288e-28,0.682909443697097,0.446,0.0225673423732919,0.260439251343549,0.390239231252767,0.374098019417217,0.891969724,0.243126228368477,0,1,0
ENSP00000384690,ENSP00000384690,221938,MMD2,1.196e-05,FALSE,NA,0.00091686259327882,0.475005383502204,0.496,0.0137715371384109,-0.081407906890187,0.933548905673411,0.931356463250953,0.93136916,0.846467627685406,0,1,3.327825315
ENSP00000403925,ENSP00000403925,219899,TBCEL,1.581e-05,FALSE,NA,0.971498208896393,0.460099069203949,0.411,0.399173567809226,0.223554478248827,0.924809654097494,0.920455368054968,0.934036968,0.858952901447169,0,1,7.31902458809615
ENSP00000417509,ENSP00000417509,23272,FAM208A,3.453e-05,FALSE,NA,0.999672316077973,0.485611011240855,0.487,0.530827826220772,0.548589292517311,0.938540025151076,0.93616531927332,0.928889646,0.93802574261395,0,1,0
ENSP00000162044,ENSP00000162044,54929,TMEM161A,2.479e-05,FALSE,NA,2.04658505555468e-06,0.414029460802801,0.329,0.0127395953656277,-0.271103296655449,0.932898824897303,0.931129545826942,0.939524863,0.885349563500499,0,1,0
ENSP00000221204,ENSP00000221204,2267,FGL1,NA,FALSE,NA,1.873536127279e-16,NA,0.46,0.00193078775771488,-0.437331076301863,NA,NA,NA,NA,0,1,0
ENSP00000243286,ENSP00000243286,85012,TCEAL3,9.23e-06,FALSE,NA,0.603339069922021,0.495977243192641,0.49,NA,NA,0.906356407360337,0.905406235087973,0.926275318,0.909183290325973,0,1,0
ENSP00000257974,ENSP00000257974,3888,KRT82,2.68e-05,FALSE,NA,2.61197625522827e-16,0.371249520970927,0.448,0.0126360576545882,-0.098045716975633,0.941888603397634,0.940074026936288,0.942549063,0.929556661823702,0,1,0
ENSP00000259351,ENSP00000259351,9649,RALGPS1,2.317e-05,FALSE,NA,0.999856880539416,0.482360949186898,0.582,0.559682476796336,0.379664710778381,0.940817630098098,0.934024998431719,0.929753935,0.93148168056751,0,1,44.1327875023802
ENSP00000260447,ENSP00000260447,2644,GCHFR,3.93e-06,FALSE,NA,0.0418968845933878,0.527456971051049,0.336,0.00471738378737417,-0.65036959267285,0.885040825850607,0.88434685858715,0.917043532,0.893165977532701,0,1,0
ENSP00000263256,ENSP00000263256,27351,DESI1,NA,FALSE,NA,0.0937224778463612,NA,0.408,0.0290134264606825,-0.108762893101754,NA,NA,NA,NA,0,1,0
ENSP00000266014,ENSP00000266014,55830,GLT8D1,1.327e-05,FALSE,NA,0.00348977535071494,0.967699800032236,0.034,0.00495525884046,-0.601638377356408,0.856696789725718,0.854664407643514,0.866483973,0.851388399889426,0,1,0
ENSP00000269491,ENSP00000269491,89777,SERPINB12,1.489e-05,FALSE,NA,7.75579414319893e-17,0.338847221532446,0.491,0.0167413139166392,0.004943045421857,0.941813543008975,0.939998773033055,0.944051578,0.754881096289757,0,1,0
ENSP00000274217,ENSP00000274217,54491,FAM105A,1.13e-05,FALSE,NA,2.32580771885254e-07,0.338065857559262,0.447,0.0513169124091867,0.272197057783659,0.94160374407445,0.939566482512005,0.944093676,0.914813182678561,0,1,25.2791759720942
ENSP00000281382,ENSP00000281382,5281,PIGF,5.35e-06,FALSE,NA,0.000909040072288399,0.675455739922646,0.256,0.00474882924920819,-0.49746568740444,0.892981153358882,0.887316276443377,0.893479189,0.818083790153994,0,1,0
ENSP00000285273,ENSP00000285273,56934,CA10,1.284e-05,FALSE,NA,0.973117501696163,0.620502739607963,0.604,0.241790090006267,0.109756020372061,0.937938486836856,0.913228135435798,0.903843173,0.918308760536143,0,1,9.478277987
ENSP00000285279,ENSP00000285279,81552,VOPP1,8.61e-06,FALSE,NA,0.12531564122422,0.499383932851279,0.491,0.148183832166904,0.577711776873023,0.913685581745656,0.903505254018993,0.925359834,0.907634302725953,0,1,0
ENSP00000290795,ENSP00000290795,60313,GPBP1L1,1.747e-05,FALSE,NA,0.435324050435863,0.34868803998236,0.447,0.0226127723704605,-0.26702287914768,0.942209023868254,0.93986948004055,0.94367413,0.862630710429875,0,1,1.33897237
ENSP00000294725,ENSP00000294725,343450,KCNT2,3.87e-05,FALSE,NA,0.666802213991112,5.2289201662449,0.495,0.2843268690084,0.186596421222847,0.647191201518997,0.593580342247783,0.544706425,0.939287707757273,0,1,14.2577445475144
ENSP00000295694,ENSP00000295694,84283,TMEM79,2.268e-05,FALSE,NA,3.49884123421551e-07,0.199148101709351,0.432,0.00662472239024079,-0.390448349733469,0.947581278822158,0.945538885660846,0.948514045,0.931066140636464,0,1,0
ENSP00000299698,ENSP00000299698,144568,A2ML1,5.7e-05,FALSE,NA,1.32902210264609e-22,0.0515522296261977,0.448,NA,NA,0.948529546077334,0.946425227722875,0.950670592,0.478856265205781,0,1,0
ENSP00000301939,ENSP00000301939,254863,TMEM256,NA,FALSE,NA,2.94821183080695e-05,NA,0.428,NA,NA,NA,NA,NA,NA,0,1,0
ENSP00000303987,ENSP00000303987,79064,TMEM223,7.08e-06,FALSE,NA,0.0124355311633348,0.662505878428894,0.444,0.00252224144450797,-0.668369879595603,0.895419080751724,0.894701910496132,0.895950876,0.928537929384642,0,1,0
ENSP00000305731,ENSP00000305731,1469,CST1,6.9e-06,FALSE,NA,2.8669819797472e-08,1.44090540020924,0.469,0.0119779231475064,-0.09597635304249,0.791784179987688,0.78908443505312,0.807359184,0.825425784618583,0,1,0
ENSP00000305892,ENSP00000305892,29100,TMEM208,7.78e-06,FALSE,NA,0.424874172613488,0.499450741692329,0.473,0.00397578216648476,-0.92442415751741,0.928751739289364,0.927473837855471,0.925327646,0.862300356870505,0,1,1.11449061668937
ENSP00000307513,ENSP00000307513,9902,MRC2,7.54e-05,FALSE,NA,0.985888157648222,0.182573237284589,0.107,0.400155484434635,0.219625451871627,0.9494687381182,0.947282596725697,0.948860526,0.939147807588067,0,0.8322426,9.721234201
ENSP00000309640,ENSP00000309640,152002,XXYLT1,1.854e-05,FALSE,NA,0.0516035068341256,0.446152369820517,0.464,0.0167292357775049,-0.336803892707403,0.931684884447832,0.924605762094521,0.936190472,0.926771312051994,0,1,0
ENSP00000321370,ENSP00000321370,79413,ZBED2,8.71e-06,FALSE,NA,0.00205866015297017,0.6502912784746,0.45,NA,NA,0.901324294046474,0.90074535010853,0.898173221,0.833443635811046,0,1,6.88226867969516
ENSP00000324510,ENSP00000324510,8938,BAIAP3,6.4e-05,FALSE,NA,2.20929624637849e-19,3.41214424817716,0.544,0.0214775138737437,0.0827267089354263,0.714888495964428,0.711102441515609,0.628040738,0.945848381192665,0,1,3.10087405252186
ENSP00000326259,ENSP00000326259,390067,OR52H1,1.181e-05,FALSE,NA,0.0130705992596721,0.482948387688553,0.448,NA,NA,0.913100308771363,0.912707158778238,0.929538968,0.937109291908235,0,1,0
ENSP00000329860,ENSP00000329860,374355,CCDC172,NA,FALSE,NA,0.00832961563746814,NA,0.493,0.0121687582811635,-0.138532970409959,NA,NA,NA,NA,0,1,0
ENSP00000334611,ENSP00000334611,339967,TMPRSS11A,1.507e-05,FALSE,NA,9.57132467628292e-11,0.81206621079686,0.448,0.0189897098678254,-0.027896517787403,0.873402214169185,0.870867117067195,0.879531259,0.875305999502247,0,1,0
ENSP00000335094,ENSP00000335094,200728,TMEM17,8.18e-06,FALSE,NA,0.00402396190447031,0.502590573838014,0.482,0.00546966101623719,-0.536902148889349,0.902408291716406,0.90184771736862,0.924466068,0.906392569160312,0,1,0
ENSP00000335229,ENSP00000335229,388407,C17orf82,1.583e-05,FALSE,NA,7.35000906630045e-05,0.939357995830594,0.472,NA,NA,0.860917702414247,0.859169702560952,0.869172269,0.858982527466929,0,1,0
ENSP00000341597,ENSP00000341597,10827,FAM114A2,1.679e-05,FALSE,NA,3.07870322878957e-07,0.226749237747714,0.298,0.00363572029811451,-0.473400386293348,0.946643266383036,0.944433662682137,0.947823702,0.938873317933962,0,1,0
ENSP00000344929,ENSP00000344929,128859,BPIFB6,1.899e-05,FALSE,NA,1.20126828012269e-11,0.391743140683129,0.488,NA,NA,0.939891781706132,0.938110507600924,0.941317165,0.860641558117747,0,1,0
ENSP00000347140,ENSP00000347140,433,ASGR2,1.478e-05,FALSE,NA,6.63907703485809e-06,0.460016604284027,0.432,0.0168815427976882,-0.06369013796809,0.934711903764319,0.933363276837907,0.93405599,0.855893283420885,0,1,0
